"","movieId","tagId","relevance","name","gross","budget","netrevenue","Oscar"
"1",1,29,0.907,"Toy Story",191796233,3e+07,161796233,0
"2",1,63,0.955,"Toy Story",191796233,3e+07,161796233,0
"3",1,64,0.98875,"Toy Story",191796233,3e+07,161796233,0
"4",1,186,0.9585,"Toy Story",191796233,3e+07,161796233,0
"5",1,203,0.9055,"Toy Story",191796233,3e+07,161796233,0
"6",1,204,0.9545,"Toy Story",191796233,3e+07,161796233,0
"7",1,244,0.999,"Toy Story",191796233,3e+07,161796233,0
"8",1,412,0.9335,"Toy Story",191796233,3e+07,161796233,0
"9",1,469,0.904,"Toy Story",191796233,3e+07,161796233,0
"10",1,536,0.92875,"Toy Story",191796233,3e+07,161796233,0
"11",1,588,0.9785,"Toy Story",191796233,3e+07,161796233,0
"12",1,589,0.9885,"Toy Story",191796233,3e+07,161796233,0
"13",1,785,0.96975,"Toy Story",191796233,3e+07,161796233,0
"14",1,786,0.9955,"Toy Story",191796233,3e+07,161796233,0
"15",1,971,0.917,"Toy Story",191796233,3e+07,161796233,0
"16",1,1036,0.9995,"Toy Story",191796233,3e+07,161796233,0
"17",2,29,0.978,"Jumanji",100475249,5e+07,50475249,0
"18",2,204,0.96875,"Jumanji",100475249,5e+07,50475249,0
"19",2,377,0.95675,"Jumanji",100475249,5e+07,50475249,0
"20",2,584,0.94175,"Jumanji",100475249,5e+07,50475249,0
"21",2,588,0.9475,"Jumanji",100475249,5e+07,50475249,0
"22",2,951,0.94,"Jumanji",100475249,5e+07,50475249,0
"23",3,451,0.96775,"Grumpier Old Men",69870000,2.5e+07,44870000,0
"24",3,901,0.97,"Grumpier Old Men",69870000,2.5e+07,44870000,0
"25",3,902,0.93775,"Grumpier Old Men",69870000,2.5e+07,44870000,0
"26",4,1116,0.97625,"Waiting to Exhale",67052156,1.6e+07,51052156,0
"27",5,383,0.90275,"Father of the Bride Part II",76594000,3e+07,46594000,0
"28",5,451,0.96925,"Father of the Bride Part II",76594000,3e+07,46594000,0
