movieId,name,genres,year.x,budget,company,country,director,genre,gross,rating,released,runtime,score,star,votes,writer,year.y,Drama,Romance,Thriller,Comedy,Adventure,Children,Action,Fantasy,Horror,Crime,Sci-Fi,Mystery,Western,War,IMAX,Animation,Musical,Film-Noir,(no genres listed),Mean Rating,Var Rating,Mean Count,PCA 1,PCA 2,PCA 3,PCA 4,PCA 5,PCA 6,PCA 7,PCA 8,PCA 9,PCA 10,PCA 11,PCA 12,PCA 13
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,30000000,Pixar Animation Studios,USA,John Lasseter,Animation,191796233,G,11/22/95,81,8.3,Tom Hanks,694113,John Lasseter,1995,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3.886649433,0.864064764,239.9601572,-0.962416611,2.22132015,-2.231838912,-1.331716281,1.233427499,1.217994754,0.237072788,-1.665714531,0.531047546,-1.322046181,0.736927277,1.296900337,-0.267616403
2,Jumanji,Adventure|Children|Fantasy,1995,50000000,TriStar Pictures,USA,Joe Johnston,Action,100475249,PG,12/15/95,104,6.9,Robin Williams,232339,Jonathan Hensleigh,1995,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.246582913,0.920644041,366.8637955,1.557354004,1.691441911,-1.0201365,-1.298306729,-0.029420961,0.317456882,0.153414579,-1.247863677,0.305598248,-0.463336734,0.489091415,0.699317315,-0.580564585
3,Grumpier Old Men,Comedy|Romance,1995,25000000,Lancaster Gate,USA,Howard Deutch,Comedy,69870000,PG-13,12/22/95,101,6.6,Walter Matthau,20718,Mark Steven Johnson,1995,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.173981392,1.02967784,268.7367982,1.478867276,0.005659229,-0.691446431,0.32645071,0.380198008,0.350811696,-0.060567519,0.036498209,0.047748651,0.040166834,-0.297822653,0.051780118,0.453988532
4,Waiting to Exhale,Comedy|Drama|Romance,1995,16000000,Twentieth Century Fox Film Corporation,USA,Forest Whitaker,Comedy,67052156,R,12/22/95,124,5.7,Whitney Houston,7977,Terry McMillan,1995,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.87453998,1.235593204,403.6460355,1.36712493,-0.715496195,-0.930526004,0.388075624,0.012732084,-0.272132732,-0.64529042,-0.227266353,0.164710806,0.643281647,-0.221260488,0.206076103,0.108270542
5,Father of the Bride Part II,Comedy,1995,30000000,Sandollar Productions,USA,Charles Shyer,Comedy,76594000,PG,12/8/95,106,5.9,Steve Martin,28658,Albert Hackett,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.07729094,0.992571579,265.0599716,1.692613637,-0.110773751,-1.242292612,0.21999269,0.449393338,0.091395535,-0.349690375,-0.305348365,0.135772623,-0.226499705,-0.267155079,0.295997592,0.807927378
6,Heat,Action|Crime|Thriller,1995,60000000,Warner Bros.,USA,Michael Mann,Action,67436818,R,12/15/95,170,8.2,Al Pacino,470080,Michael Mann,1995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.844210857,0.780806994,322.350312,-3.060652929,1.801389492,0.836216091,1.932250775,-0.030799476,0.274645277,-0.186015125,0.859183857,1.655631288,-0.543541575,-0.983637468,0.518197704,0.416929704
7,Sabrina,Comedy|Romance,1995,58000000,Constellation Entertainment,Germany,Sydney Pollack,Comedy,53672080,PG,12/15/95,127,6.3,Harrison Ford,31451,Samuel A. Taylor,1995,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.371348278,0.929575104,281.5453238,1.141777165,-0.250339391,-1.503309477,0.040906664,-0.173571379,0.378682847,-0.940258806,-0.407317374,0.214801007,1.134116521,-0.554378973,0.082230266,0.29943731
9,Sudden Death,Action,1995,35000000,Universal Pictures,USA,Peter Hyams,Action,20350171,R,12/22/95,111,5.7,Jean-Claude Van Damme,27472,Karen Elise Baldwin,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.007529782,0.933115502,345.6943133,2.148198971,0.432628838,0.264247418,0.449086585,-0.822502763,0.227232665,0.291510267,0.875315814,0.682861834,-0.166974636,-0.465218787,0.291211454,0.145909806
10,GoldenEye,Action|Adventure|Thriller,1995,60000000,Eon Productions,UK,Martin Campbell,Action,106600000,PG-13,11/17/95,130,7.2,Pierce Brosnan,209588,Ian Fleming,1995,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.431632715,0.761367786,286.6836124,1.113024154,1.960527043,-0.141306759,0.063758796,-0.785731688,0.986737537,0.014289527,0.880597649,-0.043211938,-0.023549853,-0.540924474,0.609799596,-0.80830054
11,The American President,Comedy|Drama|Romance,1995,62000000,Universal Pictures,USA,Rob Reiner,Comedy,65000000,PG-13,11/17/95,114,6.8,Michael Douglas,45293,Aaron Sorkin,1995,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.660277594,0.8217142,316.9428034,0.322771032,0.59673242,-2.251771302,0.515384044,-0.330196563,0.29808316,-0.832168639,-0.220512227,-0.822625976,0.753160829,-0.294848877,-0.047912059,-0.177012199
